,node_1,node_2,link
2418,1447,566,1
4104,2229,344,1
1114,747,202,1
2739,1543,1324,1
1408,960,378,1
1295,862,638,1
2652,1522,569,1
1422,966,964,1
1977,1268,788,1
1661,1121,643,1
2800,1564,687,1
1585,1069,422,1
667,567,21,1
634,565,295,1
86,210,148,1
2175,1335,1270,1
89,214,157,1
3647,1985,1231,1
252,378,227,1
3636,1978,1713,1
3724,2037,1584,1
4364,2354,400,1
3594,1943,163,1
964,688,552,1
2485,1468,638,1
283,402,163,1
1270,823,427,1
536,538,402,1
430,479,478,1
2100,1312,1260,1
926,672,591,1
1400,946,427,1
322,427,312,1
45,160,125,1
1427,967,306,1
337,430,223,1
145,274,204,1
2179,1337,1335,1
1483,1004,1003,1
3151,1687,1228,1
1377,929,71,1
1090,745,561,1
1738,1155,785,1
586,552,483,1
4228,2299,1854,1
1418,965,964,1
1737,1155,783,1
742,598,158,1
2272,1375,560,1
1637,1110,163,1
4022,2197,430,1
509,523,163,1
345,432,428,1
577,552,370,1
1693,1133,719,1
1070,741,204,1
1807,1200,570,1
3509,1893,102,1
3143,1687,54,1
3028,1643,1189,1
392,465,85,1
603,560,78,1
1761,1174,1102,1
305,420,193,1
60,181,157,1
72,189,188,1
1452,982,163,1
1429,967,689,1
4527,2422,359,1
3401,1813,503,1
1616,1093,122,1
2672,1526,839,1
1634,1105,1026,1
721,588,566,1
4204,2290,585,1
3548,1911,1719,1
3743,2050,611,1
1074,743,163,1
1001,708,250,1
1225,772,742,1
854,640,549,1
4842,2541,686,1
4414,2374,916,1
1892,1238,1025,1
446,489,238,1
2911,1600,411,1
865,643,583,1
384,460,148,1
199,331,101,1
4504,2414,2239,1
3037,1644,1290,1
4216,2294,66,1
1681,1127,793,1
3562,1923,71,1
2330,1407,783,1
290,410,82,1
2341,1412,1111,1
1091,745,600,1
2030,1286,163,1
2698,1532,558,1
1854,1218,833,1
2801,1564,745,1
2093,1311,764,1
3967,2175,1719,1
218,345,117,1
3938,2166,772,1
1026,719,611,1
1833,1210,883,1
4131,2250,1696,1
267,391,142,1
1565,1061,378,1
3233,1713,468,1
201,332,62,1
2110,1318,227,1
1347,904,352,1
1671,1124,453,1
560,552,2,1
2559,1498,163,1
1443,976,905,1
4004,2190,2189,1
5207,2680,101,1
1541,1043,1042,1
2148,1328,1109,1
1802,1197,1053,1
2211,1348,612,1
3234,1713,889,1
4517,2421,74,1
1036,727,163,1
1123,747,283,1
4088,2225,256,1
2105,1315,1079,1
2251,1364,1004,1
3625,1968,1774,1
355,438,21,1
1107,747,124,1
4135,2251,163,1
1099,747,72,1
59,181,76,1
3394,1811,427,1
1641,1111,1101,1
2101,1312,1269,1
1870,1231,854,1
2782,1557,691,1
1550,1052,832,1
2187,1340,157,1
3353,1782,565,1
4320,2335,74,1
194,326,278,1
3787,2077,744,1
1337,892,889,1
2602,1508,668,1
2480,1466,943,1
3796,2082,1793,1
1358,910,764,1
512,523,283,1
1361,911,177,1
1164,747,724,1
1593,1074,109,1
534,538,15,1
4755,2506,2366,1
1035,726,576,1
1736,1154,819,1
1069,740,560,1
1536,1038,157,1
3145,1687,523,1
1073,743,65,1
4945,2578,99,1
1488,1006,876,1
1495,1012,295,1
908,665,427,1
4162,2270,480,1
2026,1285,405,1
1421,966,910,1
1023,719,87,1
4299,2329,1428,1
1087,745,386,1
1622,1098,163,1
1866,1225,1117,1
2495,1471,447,1
2289,1380,793,1
230,352,41,1
3577,1933,36,1
1775,1182,1010,1
2594,1506,1308,1
2083,1305,1098,1
1856,1219,163,1
1743,1157,745,1
3483,1877,251,1
2828,1571,163,1
1407,959,793,1
4106,2230,157,1
2368,1424,1218,1
3470,1863,1862,1
4430,2380,485,1
358,438,227,1
1269,823,227,1
1139,747,502,1
3120,1678,378,1
844,638,521,1
2940,1608,1512,1
1261,814,809,1
192,324,278,1
1502,1016,727,1
2423,1451,1272,1
718,587,427,1
1615,1092,569,1
805,632,401,1
518,524,520,1
228,350,201,1
2044,1289,157,1
4501,2414,668,1
1327,882,575,1
504,520,478,1
1415,964,910,1
3442,1842,1268,1
596,557,423,1
3076,1661,109,1
4405,2368,465,1
1472,999,70,1
2010,1281,1272,1
547,544,258,1
1391,938,611,1
3851,2114,1923,1
2268,1373,565,1
110,243,53,1
1357,910,565,1
3658,1993,276,1
3737,2044,427,1
789,621,552,1
1079,745,36,1
155,288,75,1
251,378,218,1
652,566,16,1
3237,1715,163,1
2533,1486,1008,1
3650,1986,1329,1
473,503,174,1
3995,2183,2150,1
2581,1503,1108,1
3970,2175,2087,1
597,558,376,1
4935,2575,1910,1
1727,1153,163,1
3915,2153,2025,1
1532,1036,538,1
3618,1964,1862,1
716,587,88,1
204,334,20,1
2714,1534,1498,1
2374,1429,675,1
1528,1032,847,1
622,565,60,1
2613,1512,1235,1
2262,1370,136,1
687,575,552,1
1969,1261,1117,1
448,490,5,1
1316,875,554,1
890,657,656,1
1068,740,418,1
3410,1816,558,1
233,357,243,1
1366,916,157,1
297,416,138,1
3420,1824,1595,1
573,552,305,1
2277,1377,313,1
1259,812,809,1
3703,2026,576,1
4309,2333,2135,1
2837,1573,910,1
1511,1019,926,1
1620,1095,798,1
2490,1469,1364,1
3732,2040,1924,1
1522,1027,378,1
2847,1576,1266,1
122,251,88,1
2551,1495,995,1
1188,757,219,1
797,624,572,1
1105,747,112,1
1946,1254,1062,1
2715,1535,289,1
275,395,163,1
281,400,14,1
1162,747,703,1
2018,1283,427,1
129,258,0,1
67,188,141,1
1876,1232,1178,1
538,539,183,1
1835,1212,580,1
5254,2698,2697,1
2919,1602,971,1
699,577,389,1
395,465,294,1
2342,1412,1328,1
3801,2085,1094,1
849,640,109,1
1666,1122,717,1
3892,2146,638,1
1863,1224,145,1
3689,2017,1582,1
253,378,286,1
2511,1479,136,1
4220,2295,427,1
3051,1649,1557,1
499,519,280,1
4472,2403,649,1
649,565,548,1
3437,1838,485,1
259,383,87,1
788,621,471,1
1705,1139,163,1
3999,2188,2149,1
919,671,566,1
1076,744,163,1
506,521,344,1
1725,1150,912,1
3841,2107,613,1
3633,1975,427,1
540,540,523,1
3408,1815,253,1
2481,1466,1016,1
2370,1425,684,1
3957,2173,846,1
1490,1007,837,1
3305,1737,380,1
1244,791,786,1
617,564,294,1
1254,803,357,1
2252,1364,1343,1
2009,1281,948,1
3683,2014,562,1
2215,1351,900,1
1918,1244,344,1
1772,1180,1177,1
311,426,303,1
113,248,105,1
302,419,398,1
3421,1825,68,1
3378,1797,1221,1
542,541,454,1
774,613,14,1
3953,2172,136,1
571,552,277,1
3977,2178,1795,1
3322,1747,1324,1
3468,1863,1595,1
1367,916,427,1
3545,1911,290,1
2824,1570,1109,1
553,549,453,1
2689,1530,145,1
3962,2175,163,1
2004,1278,289,1
1868,1230,995,1
2863,1582,1086,1
2419,1449,453,1
1721,1148,30,1
3085,1664,1559,1
2637,1520,839,1
1967,1261,247,1
720,588,294,1
1980,1269,418,1
1734,1153,1113,1
1338,896,468,1
1183,755,188,1
43,157,78,1
2283,1378,565,1
2783,1558,163,1
2003,1277,163,1
1885,1234,1226,1
3656,1991,1716,1
521,529,340,1
2571,1500,1238,1
83,204,202,1
1469,996,161,1
1954,1257,380,1
1720,1147,772,1
728,591,453,1
3733,2040,2004,1
1685,1129,809,1
288,406,311,1
483,511,74,1
508,523,54,1
127,255,70,1
576,552,367,1
2280,1378,173,1
2503,1474,1249,1
186,322,15,1
2326,1404,219,1
1354,909,827,1
303,420,10,1
2977,1622,1322,1
1794,1191,1053,1
2760,1550,1199,1
3363,1790,415,1
1196,759,161,1
4136,2252,2220,1
3869,2126,426,1
2975,1622,344,1
766,611,368,1
1387,934,860,1
3334,1763,611,1
3546,1911,860,1
3717,2034,453,1
3563,1924,345,1
1285,846,219,1
3413,1818,1813,1
3333,1763,407,1
3432,1832,1831,1
2347,1414,1268,1
1766,1178,854,1
3276,1728,129,1
633,565,294,1
1527,1032,591,1
1623,1098,343,1
4287,2325,611,1
778,615,98,1
4735,2499,2376,1
3452,1855,75,1
2164,1333,1224,1
117,250,76,1
381,459,109,1
1972,1264,1134,1
4727,2499,1068,1
801,629,612,1
567,552,173,1
1519,1025,1006,1
313,426,335,1
3895,2146,1897,1
2322,1401,951,1
3934,2165,538,1
1891,1238,378,1
3443,1842,1757,1
207,337,143,1
393,465,103,1
1040,729,467,1
3561,1922,576,1
637,565,333,1
936,680,74,1
889,656,650,1
1078,745,18,1
5228,2688,1784,1
1498,1014,576,1
2578,1502,772,1
348,433,428,1
162,294,128,1
3669,2000,467,1
3384,1801,576,1
3494,1886,1884,1
3238,1715,793,1
2887,1592,1293,1
3883,2138,1718,1
3450,1852,99,1
2079,1305,163,1
818,635,208,1
2253,1364,1363,1
1677,1126,583,1
2397,1438,294,1
604,560,157,1
2502,1474,380,1
1822,1205,793,1
298,417,317,1
1521,1027,322,1
595,556,555,1
4139,2255,427,1
1506,1017,74,1
2367,1423,1328,1
1896,1240,841,1
420,478,227,1
850,640,130,1
1126,747,328,1
42,155,117,1
840,638,375,1
4155,2262,2236,1
2595,1506,1415,1
156,289,64,1
4181,2277,1931,1
2159,1333,163,1
2680,1527,971,1
1018,717,163,1
3804,2087,1257,1
2176,1336,1027,1
1479,1003,791,1
178,305,82,1
555,549,488,1
771,611,601,1
1280,842,565,1
1692,1131,966,1
1296,862,785,1
4208,2291,378,1
1674,1125,818,1
403,468,182,1
4677,2480,565,1
663,566,472,1
1907,1241,84,1
3330,1757,1268,1
170,295,197,1
1595,1078,1076,1
1332,889,41,1
3978,2178,2082,1
1961,1259,893,1
429,479,449,1
1403,954,427,1
248,373,86,1
2633,1520,59,1
309,425,85,1
1660,1121,540,1
2094,1311,910,1
3047,1649,691,1
3486,1877,717,1
1632,1105,591,1
73,191,22,1
1331,888,41,1
2716,1535,629,1
279,398,248,1
2457,1459,804,1
3914,2153,2022,1
1726,1150,1149,1
4609,2449,1881,1
4001,2190,1955,1
85,210,63,1
661,566,465,1
4150,2260,611,1
4158,2266,74,1
3695,2021,87,1
1921,1245,570,1
1312,874,570,1
3501,1890,1060,1
911,668,263,1
3707,2027,636,1
2718,1536,163,1
334,430,172,1
1567,1061,585,1
2207,1347,84,1
1767,1178,956,1
3449,1851,503,1
1431,967,848,1
3979,2179,321,1
549,547,74,1
636,565,306,1
92,219,38,1
654,566,173,1
1642,1112,101,1
843,638,449,1
1890,1237,826,1
2137,1326,971,1
1903,1240,1086,1
2067,1298,407,1
600,559,34,1
966,689,163,1
546,544,14,1
2879,1591,33,1
2174,1335,1267,1
190,324,62,1
75,192,10,1
665,566,483,1
65,188,129,1
4485,2409,477,1
3607,1957,565,1
64,188,120,1
1189,757,755,1
4034,2203,881,1
1754,1173,318,1
3347,1775,1771,1
36,150,50,1
887,655,198,1
2654,1523,343,1
3024,1643,566,1
3629,1973,129,1
2546,1492,1050,1
438,483,463,1
1657,1117,1114,1
3542,1909,1582,1
4014,2194,2189,1
1996,1274,343,1
1083,745,124,1
3808,2088,1527,1
1271,829,820,1
1227,773,565,1
291,410,298,1
4378,2360,574,1
747,600,205,1
3836,2102,189,1
1246,793,163,1
1509,1019,862,1
3859,2122,66,1
425,479,92,1
4056,2213,2126,1
1283,844,55,1
4459,2398,583,1
2002,1275,1234,1
2572,1500,1267,1
877,649,479,1
4057,2214,420,1
1178,752,649,1
1317,875,775,1
3540,1909,632,1
3457,1859,548,1
3455,1857,160,1
676,570,59,1
1828,1207,378,1
1630,1103,611,1
3431,1832,415,1
1008,712,54,1
3941,2166,1527,1
2243,1362,163,1
3389,1805,1804,1
4602,2446,129,1
1646,1113,163,1
144,273,38,1
1168,748,138,1
1955,1257,1153,1
503,520,230,1
3164,1691,163,1
2445,1457,1237,1
2530,1485,1159,1
621,565,57,1
4156,2263,2247,1
415,477,463,1
3025,1643,649,1
359,438,296,1
1968,1261,1114,1
891,658,163,1
5004,2598,1631,1
1414,964,902,1
3451,1854,75,1
265,390,145,1
1739,1155,862,1
1401,949,74,1
559,551,523,1
4700,2487,430,1
100,231,30,1
3672,2002,1713,1
806,632,430,1
318,427,205,1
2515,1481,964,1
346,433,158,1
1019,717,188,1
3136,1684,1636,1
514,523,465,1
587,552,548,1
1048,732,640,1
1318,876,453,1
3552,1914,427,1
4507,2416,1910,1
2413,1445,414,1
1442,975,668,1
1508,1019,853,1
4063,2217,1007,1
5075,2628,565,1
1515,1024,74,1
333,430,119,1
3472,1864,1855,1
1447,979,766,1
2201,1344,1138,1
3017,1641,71,1
26,127,124,1
791,622,74,1
831,636,552,1
1902,1240,999,1
1606,1084,858,1
2041,1288,787,1
1865,1225,163,1
2996,1632,68,1
1756,1174,414,1
2426,1452,157,1
1335,892,41,1
1513,1020,430,1
3936,2165,1143,1
1547,1047,603,1
1647,1114,163,1
2166,1334,163,1
264,389,332,1
773,612,289,1
1629,1103,427,1
4029,2200,1969,1
365,440,367,1
3030,1644,322,1
2536,1488,611,1
4438,2385,611,1
2785,1559,71,1
1441,975,608,1
417,478,96,1
1360,910,902,1
3477,1871,359,1
838,638,296,1
3831,2099,456,1
2676,1527,260,1
2464,1461,1288,1
1510,1019,906,1
1249,798,507,1
3606,1956,735,1
986,699,566,1
1689,1130,163,1
224,347,84,1
200,331,179,1
1764,1176,1123,1
952,686,318,1
2317,1399,427,1
3393,1811,204,1
1343,899,611,1
874,649,96,1
149,280,193,1
413,477,333,1
2830,1571,1216,1
3927,2162,745,1
1554,1053,1024,1
370,444,144,1
823,635,430,1
469,500,247,1
2421,1450,731,1
4128,2248,145,1
1402,950,84,1
203,332,324,1
529,536,58,1
1700,1136,1060,1
3050,1649,1228,1
2788,1560,456,1
1460,986,862,1
212,342,339,1
2001,1275,585,1
3478,1872,163,1
2734,1540,1378,1
1471,998,347,1
1555,1055,607,1
4297,2329,672,1
1852,1218,163,1
2068,1298,409,1
608,562,252,1
3077,1661,453,1
2060,1293,672,1
2178,1337,1020,1
3966,2175,1696,1
1239,779,684,1
3956,2173,636,1
3715,2032,344,1
3130,1683,740,1
137,266,163,1
2540,1490,206,1
336,430,208,1
3805,2087,1911,1
3894,2146,1004,1
3337,1766,427,1
4176,2275,2268,1
2509,1478,1335,1
1860,1222,809,1
1713,1140,966,1
3975,2178,1793,1
445,489,46,1
2349,1414,1288,1
700,577,401,1
3366,1791,682,1
5041,2614,1644,1
2218,1353,934,1
3992,2182,2011,1
237,360,151,1
1781,1184,781,1
2843,1575,1136,1
140,268,14,1
338,430,236,1
732,592,589,1
3994,2183,1954,1
2459,1460,638,1
2232,1354,1176,1
329,428,302,1
1538,1042,206,1
308,423,62,1
437,483,367,1
777,615,54,1
4633,2458,2242,1
2442,1457,569,1
814,635,89,1
1963,1259,1082,1
2517,1481,966,1
3750,2054,640,1
341,431,156,1
2348,1414,1287,1
1456,983,887,1
1840,1213,565,1
1476,1002,983,1
522,529,341,1
3278,1728,168,1
2577,1502,577,1
2609,1512,949,1
184,319,29,1
81,201,143,1
2756,1550,84,1
2376,1430,569,1
987,699,588,1
1853,1218,714,1
1309,872,59,1
280,399,15,1
2586,1504,1308,1
3500,1890,163,1
3794,2081,1910,1
1679,1127,163,1
3786,2077,743,1
1290,848,847,1
1300,865,251,1
1654,1117,247,1
456,492,213,1
3031,1644,378,1
2468,1463,999,1
2915,1601,1155,1
357,438,96,1
770,611,579,1
3721,2035,858,1
1011,712,681,1
116,250,33,1
2791,1560,1161,1
3655,1991,1713,1
978,696,215,1
2831,1571,1218,1
4725,2499,359,1
664,566,477,1
1913,1241,1147,1
1238,779,638,1
3091,1668,611,1
822,635,381,1
3924,2159,2081,1
215,344,335,1
2185,1339,1111,1
4307,2333,102,1
1524,1028,206,1
4283,2323,492,1
2153,1329,1049,1
2104,1315,668,1
3162,1690,995,1
2229,1354,1047,1
642,565,465,1
4569,2430,1860,1
4552,2427,507,1
2195,1343,672,1
4723,2498,2322,1
782,616,268,1
3426,1827,299,1
711,584,250,1
172,295,220,1
2866,1584,1164,1
466,498,108,1
4754,2506,1910,1
969,691,565,1
1462,990,58,1
1709,1140,811,1
4003,2190,2188,1
32,138,115,1
179,306,57,1
2437,1455,1153,1
2063,1296,109,1
402,467,464,1
1552,1053,853,1
4401,2366,1910,1
4431,2380,1838,1
554,549,456,1
4678,2480,566,1
3364,1790,523,1
3505,1891,411,1
830,636,294,1
2665,1524,1520,1
377,454,183,1
426,479,136,1
693,576,330,1
2127,1323,1149,1
2088,1307,1057,1
1730,1153,1063,1
4073,2220,1940,1
368,442,401,1
343,432,184,1
910,667,480,1
371,445,318,1
815,635,109,1
3512,1894,1527,1
4270,2316,743,1
1768,1178,995,1
4441,2389,345,1
2186,1339,1335,1
1979,1268,1186,1
1320,880,815,1
2615,1512,1335,1
1375,924,672,1
2403,1440,565,1
2660,1524,570,1
2355,1419,525,1
5251,2697,1759,1
20,115,41,1
1253,803,53,1
1518,1025,876,1
1103,747,104,1
4634,2458,2366,1
645,565,478,1
3448,1850,163,1
507,522,68,1
2122,1322,323,1
379,456,25,1
3365,1790,565,1
2954,1615,809,1
1437,974,844,1
1291,856,163,1
1467,995,415,1
3797,2082,1795,1
468,499,250,1
1682,1127,938,1
2705,1533,846,1
3621,1965,757,1
1446,979,157,1
1564,1060,965,1
1235,778,56,1
3318,1741,565,1
1186,757,163,1
315,427,146,1
4606,2448,427,1
3745,2052,1483,1
4199,2288,1759,1
513,523,415,1
268,391,230,1
435,483,277,1
1808,1200,576,1
3761,2061,215,1
11,74,71,1
2521,1484,822,1
3900,2150,1954,1
382,459,130,1
2263,1370,1102,1
366,440,414,1
530,536,200,1
1459,986,136,1
123,252,60,1
2384,1432,965,1
141,268,232,1
897,659,625,1
2538,1489,177,1
4409,2371,583,1
1378,929,740,1
2057,1292,1049,1
3444,1845,68,1
1964,1260,344,1
2103,1315,611,1
134,262,188,1
1525,1030,163,1
3371,1793,1775,1
3439,1839,290,1
995,705,519,1
1580,1067,839,1
2556,1497,1126,1
4180,2277,1277,1
2500,1473,380,1
4716,2495,571,1
1313,874,576,1
1953,1257,163,1
2036,1287,945,1
879,650,483,1
4090,2225,1732,1
3877,2133,1925,1
2741,1544,163,1
374,452,117,1
758,607,438,1
574,552,306,1
2111,1318,427,1
61,183,66,1
1268,823,142,1
1872,1231,995,1
1492,1010,877,1
697,577,250,1
103,236,156,1
904,663,496,1
2852,1578,1010,1
3243,1716,1713,1
4496,2413,668,1
2684,1528,426,1
1942,1253,910,1
1089,745,477,1
3560,1922,570,1
360,438,391,1
1635,1106,163,1
686,575,173,1
3111,1674,1354,1
3890,2144,1326,1
615,563,247,1
444,488,109,1
3969,2175,1940,1
2535,1488,427,1
325,427,391,1
1077,744,743,1
87,212,169,1
2984,1626,1407,1
3282,1728,1536,1
79,196,195,1
484,512,407,1
749,601,552,1
416,478,52,1
2160,1333,578,1
2170,1335,944,1
624,565,85,1
2820,1569,1182,1
4222,2296,145,1
4846,2543,159,1
1986,1270,236,1
888,656,148,1
4330,2340,611,1
3374,1795,1793,1
3631,1974,36,1
2827,1570,1339,1
2721,1537,289,1
324,427,353,1
1862,1223,848,1
243,366,364,1
971,692,378,1
173,296,227,1
660,566,449,1
703,581,49,1
4759,2507,2239,1
2617,1513,634,1
461,495,339,1
2236,1355,1047,1
672,569,255,1
2219,1354,75,1
4258,2310,66,1
3923,2159,1910,1
1562,1060,163,1
472,502,294,1
232,356,190,1
756,606,163,1
650,565,554,1
3327,1756,168,1
533,537,357,1
245,371,157,1
612,563,38,1
4539,2424,1428,1
1081,745,91,1
2212,1348,1047,1
3255,1719,1257,1
2205,1346,1272,1
99,230,142,1
4456,2396,1583,1
2825,1570,1111,1
28,129,15,1
1503,1016,728,1
3768,2066,159,1
3490,1884,745,1
1372,920,873,1
1263,818,582,1
2337,1410,163,1
4060,2215,675,1
1266,819,818,1
1702,1137,558,1
3558,1921,523,1
2636,1520,834,1
4502,2414,1366,1
3852,2114,1928,1
568,552,210,1
2048,1290,429,1
94,220,45,1
4544,2426,344,1
1470,998,84,1
1289,848,591,1
3489,1881,344,1
2794,1562,627,1
3946,2168,1363,1
465,498,107,1
2953,1614,1613,1
2147,1328,1107,1
946,685,217,1
2080,1305,728,1
899,661,71,1
3697,2022,2008,1
367,441,297,1
249,377,74,1
2817,1569,1010,1
4810,2527,735,1
2144,1328,1020,1
1265,819,817,1
1749,1170,517,1
3834,2100,1961,1
1943,1253,965,1
3191,1700,687,1
223,346,337,1
1867,1229,809,1
601,559,167,1
1299,864,611,1
332,430,89,1
1389,937,426,1
3555,1919,638,1
1741,1157,687,1
727,591,287,1
1395,943,728,1
751,602,163,1
3174,1696,163,1
5101,2643,2470,1
4159,2266,345,1
882,652,86,1
1817,1204,129,1
1223,772,51,1
557,550,438,1
1540,1042,1037,1
1785,1186,492,1
2956,1616,523,1
3912,2153,2002,1
2869,1585,738,1
352,435,14,1
754,605,476,1
3710,2029,503,1
2922,1603,1114,1
1711,1140,964,1
2931,1606,1293,1
528,535,109,1
671,568,478,1
1468,995,956,1
3412,1816,566,1
3599,1945,729,1
2332,1407,1155,1
3071,1659,1093,1
1985,1270,208,1
1975,1266,836,1
4327,2339,344,1
3881,2137,430,1
2221,1354,479,1
701,578,13,1
2246,1363,640,1
4498,2413,1718,1
3917,2155,591,1
726,591,199,1
428,479,418,1
107,239,82,1
3644,1982,1713,1
1658,1118,134,1
1583,1068,989,1
1839,1212,1126,1
916,671,552,1
3603,1954,98,1
421,478,274,1
1673,1125,817,1
3349,1776,1595,1
4051,2211,854,1
2488,1469,1003,1
3433,1836,415,1
4301,2329,2080,1
4234,2302,403,1
3976,2178,1794,1
563,552,60,1
1297,863,576,1
2016,1283,230,1
50,163,129,1
1373,922,580,1
3036,1644,1256,1
3493,1886,745,1
52,163,145,1
1916,1243,570,1
193,325,211,1
3139,1685,422,1
1663,1121,1046,1
3340,1769,1696,1
820,635,264,1
3110,1674,1123,1
740,597,224,1
2496,1471,693,1
2287,1379,163,1
1272,833,714,1
2074,1301,1266,1
1066,740,157,1
180,308,9,1
3519,1897,640,1
1773,1181,25,1
77,193,74,1
1208,766,78,1
2518,1483,857,1
4486,2409,638,1
1455,983,256,1
3580,1934,423,1
3597,1944,1259,1
2677,1527,419,1
1487,1006,650,1
69,188,163,1
2527,1484,1237,1
632,565,283,1
1012,713,161,1
2167,1334,793,1
2244,1362,1178,1
2190,1341,812,1
2526,1484,1220,1
5230,2688,1840,1
3538,1908,1838,1
1045,731,576,1
4195,2286,145,1
1874,1231,1230,1
3926,2161,1326,1
1504,1016,856,1
2087,1306,1050,1
1837,1212,818,1
2005,1278,486,1
2000,1275,426,1
3180,1697,1559,1
1838,1212,819,1
1599,1079,1009,1
1359,910,811,1
1779,1184,120,1
494,518,181,1
750,601,565,1
1342,898,108,1
925,672,574,1
535,538,129,1
350,435,0,1
166,294,191,1
2284,1378,575,1
2467,1463,931,1
1601,1080,812,1
2,14,8,1
733,593,300,1
3225,1712,453,1
412,477,294,1
1699,1136,1030,1
1311,874,59,1
317,427,202,1
459,494,427,1
323,427,350,1
912,668,310,1
3273,1727,565,1
295,415,209,1
2474,1464,200,1
593,554,552,1
1819,1204,538,1
1844,1215,580,1
1998,1275,344,1
3907,2153,1713,1
2099,1312,638,1
2021,1284,427,1
301,419,260,1
511,523,277,1
2868,1585,565,1
1638,1110,793,1
3487,1879,763,1
376,453,9,1
1273,834,576,1
1559,1057,627,1
4511,2418,2345,1
22,124,122,1
2134,1326,248,1
954,686,430,1
3825,2095,157,1
1380,931,70,1
4259,2310,318,1
4698,2487,52,1
441,486,284,1
2192,1342,359,1
210,342,270,1
1386,934,844,1
2184,1339,434,1
1639,1110,1016,1
1893,1240,84,1
1790,1190,809,1
1545,1045,471,1
217,345,76,1
804,631,383,1
1723,1148,486,1
1617,1093,355,1
3339,1767,500,1
794,624,11,1
5021,2606,527,1
1396,943,793,1
1324,881,816,1
452,490,220,1
2097,1312,344,1
2600,1507,1504,1
760,608,179,1
961,688,207,1
1158,747,695,1
900,661,74,1
2799,1564,611,1
157,290,163,1
813,634,430,1
405,469,160,1
2362,1422,826,1
3239,1715,1386,1
1531,1035,714,1
3046,1649,148,1
3189,1699,799,1
941,683,430,1
1450,981,910,1
2038,1288,107,1
2285,1378,882,1
4072,2220,1409,1
1535,1037,1028,1
579,552,412,1
1675,1125,857,1
2136,1326,776,1
4743,2500,2498,1
3351,1782,134,1
1526,1031,258,1
2181,1338,855,1
411,477,229,1
3611,1962,574,1
3615,1964,102,1
1984,1269,1260,1
4687,2484,986,1
3627,1971,995,1
1119,747,217,1
1482,1004,791,1
328,428,184,1
2874,1588,1117,1
1243,789,415,1
118,250,107,1
4074,2220,1950,1
125,253,15,1
2011,1282,948,1
5040,2614,986,1
2506,1476,1178,1
2532,1486,426,1
2692,1530,1424,1
2681,1527,1086,1
2929,1606,409,1
4717,2495,1762,1
2460,1460,672,1
2407,1442,414,1
943,683,635,1
88,214,78,1
3240,1716,41,1
